ID_Secteur;Secteur;Annee;Trimestre;Mois;Region;Nb_Creations;Evolution_Pct;Nb_Defaillances;Taux_Defaillance;Encours_Prets_MdsEUR;Croissance_Encours_Pct;Score_Risque;Col_Vide_1;Col_Vide_2;Col_Inutile
S01;Finance et assurance;2019;T1;1;Auvergne-Rhône-Alpes;2354;-6.7%;95;4.04%;62.61;3.5%;3.7;;;
S01;Finance et assurance;2019;T1;2;Grand Est;2483;-8.0%;110;4.43%;62.04;4.0%;3.5;;;
S01;Finance et assurance;2019;T1;3;Hauts-de-France;3143;-14,8%;117;3,72%;62.28;-1,2 %;2.8;;;
S01;Finance et assurance;2019;T2;4;Occitanie;2624;-13.7%;104;3.96%;55.98;6.9%;2.7;;;
S01;Finance et assurance;2019;T2;5;Auvergne-Rhône-Alpes;3191;2.3%;113;3.54%;54.4;-2.8%;2.9;;;
S01;Finance et assurance;2019;T2;6;Bourgogne;2683;-1.4%;118;4.4%;55.23;-1.0%;3.4;;;
S01;Finance et assurance;2019;T3;7;Pays de la Loire;2936;-9.9%;114;3.88%;55.74;-0.7%;3.8;;;
S01;Finance et assurance;2019;T3;8;Auvergne-Rhône-Alpes;2698;8.0%;89;3.3%;64.74;5.3%;3.1;;;
S01;Finance et assurances;2019;T3;9;Occitanie;3163;-5,6%;112;3,54%;57.8;6,8 %;3.1;;;
S01;Finance et assurance;2019;T4;10;Pays de la Loire;2573;14,9%;106;4,12%;55.44;-5,3 %;2.7;;;
S01;Finance et assurance;2019;T4;11;Normandie;2801;-7.5%;108;3.86%;65.19;3.5%;2.7;;;
S01;Finance et assurance;2019;T4;12;Normandie;2654;-6.2%;93;3.5%;53.56;4.1%;3.5;;;
S01;Finance et assurance;2020;T1;1;PACA;2525;3.8%;119;4.71%;62.09;-3.2%;3.0;;;
S01;Finance et assurance;2020;T1;2;Occitanie;2963;-15.0%;99;3.34%;56.03;7.0%;3.7;;;
S01;FINANCE ET ASSURANCE;2020;T1;3;PACA;3002;-12,6%;114;3,8%;65.91;7,7 %;3.2;;;
S01;Finance et assurance;2020;T2;4;Pays de la Loire;2852;-8.6%;107;3.75%;64.84;-3.2%;3.0;;;
S01;FINANCE ET ASSURANCE;2020;T2;5;Nouvelle-Aquitaine;2950;-11.4%;-50;3.22%;59.98;2.2 %;2.9;;;
S01;Finance et assurance;2020;T2;6;Centre-Val de Loire;2488;-7.9%;112;4.5%;58.45;-4.1%;3.8;;;
S01;Finance et assurance;2020;T3;7;Bourgogne;2904;-2.8%;91;3.13%;63.96;-1.0 %;3.1;;;
S01;Finance et assurance;2020;T3;8;Nouvelle-Aquitaine;3306;-7.5%;94;2.84%;61.35;-0.1%;2.9;;;
S01;Finance et assurance;2020;T3;9;Auvergne-Rhône-Alpes;3251;10.7%;91;2.8%;63.88;1.6%;2.6;;;
S01;Finance et assurance;2020;T4;10;Grand Est;2587;-0.4%;95;3.67%;60.76;-5.2%;3.0;;;
S01;Finance et assurance;2020;T4;11;PACA;2885;-2.3%;123;4.26%;68.13;1.8 %;3.5;;;
S01;Finance et assurance;2020;T4;12;Normandie;3189;-13.3%;109;3.42%;62.03;5.9 %;2.8;;;
S01;Finance et assurance;2021;T1;1;Grand Est;2756;-11.4%;120;4.35%;61.02;2.3%;3.4;;;
S01;Finance et assurance;2021;T1;2;Pays de la Loire;2831;-7.2%;112;3.96%;61.63;-2.3%;2.7;;;
S01;Finance et assurance;2021;T1;3;Nouvelle-Aquitaine;3265;-12.8%;104;3.19%;69.72;7.9%;2.7;;;
S01;Finance et assurance;2021;T2;4;Occitanie;2818;-12.9%;96;3.41%;60.23;0.1%;3.3;;;
S01;Finance et assurance;2021;T2;5;PACA;3244;-14.8%;118;3.64%;62.45;3.3%;3.8;;;
S01;Finance et assurance;2021;T2;6;Occitanie;3328;-10.3%;98;2.94%;61.07;-1.2%;3.4;;;
S01;Finance et assurance;2021;T3;7;PACA;3422;-13.5%;111;3.24%;67.4;-5.4%;3.0;;;
S01;Finance et assurance;2021;T3;8;PACA;3247;1.6%;103;3.17%;57.06;-4.9%;3.7;;;
S01;Finance et assurance;2021;T3;9;Île-de-France;3148;-10.6%;92;2.92%;62.2;6.6%;3.6;;;
S01;Finance et assurance;2021;T4;10;PACA;2722;-11.9%;116;4.26%;67.98;-0.3%;3.4;;;
S01;Finance et assurance;2021;T4;11;Grand Est;2633;9.0%;94;3.57%;62.09;-3.5%;3.7;;;
S01;finance et assurance;2021;T4;12;Nouvelle-Aquitaine;3399;-7,0%;117;3,44%;59.68;6,2 %;3.7;;;
S01;Finance et assurance;2022;T1;1;Occitanie;2872;-14.3%;94;3.27%;64.87;6.1%;3.8;;;
S01;Finance et assurance;2022;T1;2;Centre-Val de Loire;3307;10.3%;99;2.99%;59.55;6.3%;2.9;;;
S01;Finance et assurance;2022;T1;3;Grand Est;2631;-2.0%;114;4.33%;62.14;2.5%;3.2;;;
S01;Finance et assurance;2022;T2;4;Bourgogne;2547;-1.9%;106;4.16%;68.11;3.6%;3.8;;;
S01;Finance et assurance;2022;T2;5;Occitanie;2609;4.9%;99;3.79%;62.62;5.9%;3.5;;;
S01;Finance et assurance;2022;T2;6;Bourgogne;2954;5.9%;108;3.66%;62.44;3.3%;3.0;;;
S01;Finance et assurance;2022;T3;7;Pays de la Loire;2915;1.4%;87;2.98%;63.46;0.0%;3.3;;;
S01;Finance et assurance;2022;T3;8;Occitanie;3286;0.3%;117;3.56%;71.44;4.3%;3.4;;;
S01;Finance et assurance;2022;T3;9;Île-de-France;2957;9,6%;115;3,89%;68.66;-2,9 %;2.8;;;
S01;Finance et assurance;2022;T4;10;Auvergne-Rhône-Alpes;3284;6.6%;101;3.08%;66.27;-3.9%;3.4;;;
S01;Finance et assurance;2022;T4;11;PACA;3369;5.9%;104;3.09%;65.06;6.8%;2.7;;;
S01;Finance et assurance;2022;T4;12;Normandie;3689;2.9%;123;3.33%;71.75;2.6%;3.5;;;
S01;Finance et assurance;2023;T1;1;Occitanie;3275;-10.2%;119;3.63%;69.89;4.5%;3.6;;;
S01;FINANCE ET ASSURANCE;2023;T1;2;Normandie;3347;-6.8%;90;2.69%;64.83;-2.2 %;3.0;;;
S01;Finance et assurance;2023;T1;3;Grand Est;2763;-2.6%;99;3.58%;64.55;-5.1%;3.6;;;
S01;Finance et assurance;2023;T2;4;Grand Est;3448;10.7%;116;3.36%;66.56;-5.9%;3.0;;;
S01;Finance et assurance;2023;T2;5;Grand Est;3260;7.4%;107;3.28%;72.41;-2.9%;2.8;;;
S01;Finance et assurance;2023;T2;6;Normandie;3345;8,9%;-200;3,41%;71.29;6,9 %;3.8;;;
S01;Finance et assurance;2023;T3;7;Grand Est;3026;-13.5%;101;3.34%;61.12;-1.4%;3.5;;;
S01;Finance et assurance;2023;T3;8;Nouvelle-Aquitaine;3262;10.0%;105;3.22%;74.46;-5.3%;3.8;;;
S01;Finance et assurance;2023;T3;9;PACA;3471;7.6%;123;3.54%;65.47;-5.7%;2.8;;;
S01;finance et assurance;2023;T4;10;Bourgogne;3544;-1.0%;-50;2.74%;63.01;2.5 %;3.8;;;
S01;Finance et assurance;2023;T4;11;Pays de la Loire;3436;12.2%;101;2.94%;77.01;-3.2%;3.3;;;
S01;Finance et assurance;2023;T4;12;Normandie;3037;5.5%;117;3.85%;73.13;1.9%;2.6;;;
S01;Finance et assurance;2024;T1;1;Pays de la Loire;3230;-4.8%;119;3.68%;72.54;-4.5%;3.8;;;
S01;Finance et assurance;2024;T1;2;Bretagne;2865;-9.7%;107;3.73%;71.11;2.6%;3.7;;;
S01;Finance et assurance;2024;T1;3;Bretagne;3549;-5.3%;96;2.7%;78.98;-2.1%;3.1;;;
S01;Finance et assurance;2024;T2;4;Occitanie;3169;-0.2%;99;3.12%;70.92;-1.0%;2.9;;;
S01;Finance et assurance;2024;T2;5;Nouvelle-Aquitaine;3111;-14.7%;123;3.95%;65.51;4.1%;3.2;;;
S01;Finance et assurance;2024;T2;6;Centre-Val de Loire;3341;8.8%;90;2.69%;66.93;3.7%;3.0;;;
S01;finance et assurance;2024;T3;7;Nouvelle-Aquitaine;3126;14.9%;-10;3.45%;67.89;0.4 %;3.0;;;
S01;Finance et assurance;2024;T3;8;Centre-Val de Loire;3730;-9.3%;115;3.08%;70.6;2.3%;3.5;;;
S01;Finance et assurance;2024;T3;9;Île-de-France;2762;-8.2%;94;3.4%;59.11;1.5%;2.9;;;
S01;Finance et assurance;2024;T4;10;Bretagne;2931;11.1%;105;3.58%;76.71;2.0%;3.2;;;
S01;finance et assurance;2024;T4;11;Pays de la Loire;3196;10.9%;-50;2.85%;67.61;0.9 %;3.3;;;
S01;Finance et assurance;2024;T4;12;Bretagne;3395;3.2%;117;3.45%;62.04;1.3%;3.1;;;
S01;Finance et assurance;2025;T1;1;Pays de la Loire;3338;2.1%;89;2.67%;79.05;-4.6%;3.5;;;
S01;finance et assurance;2025;T1;2;Occitanie;3046;-9,8%;90;2,95%;65.99;0,3 %;3.3;;;
S01;FINANCE ET ASSURANCE;2025;T1;3;Grand Est;3566;12.7%;117;3.28%;72.49;3.3 %;3.8;;;
S01;Finance et assurance;2025;T2;4;Auvergne-Rhône-Alpes;3024;-10.0%;99;3.27%;79.09;2.0%;2.9;;;
S01;Finance et assurance;2025;T2;5;Bourgogne;3145;-6.8%;107;3.4%;68.0;2.4%;3.7;;;
S01;Finance et assurance;2025;T2;6;Pays de la Loire;2760;13.9%;118;4.28%;69.22;7.3%;3.8;;;
S01;Finance et assurance;2025;T3;7;Grand Est;3734;-9.7%;106;2.84%;71.4;-2.1%;3.8;;;
S01;Finance et assurance;2025;T3;8;Bourgogne;2881;-4.6%;99;3.44%;73.61;6.0%;3.0;;;
S01;Finance et assurance;2025;T3;9;Grand Est;3345;7.8%;88;2.63%;67.27;-2.5%;2.7;;;
S01;Finance et assurance;2025;T4;10;Bretagne;2935;11.1%;104;3.54%;68.6;1.3%;3.4;;;
S01;Finance et assurance;2025;T4;11;Pays de la Loire;3156;1.5%;122;3.87%;73.59;3.8%;2.7;;;
S01;Finance et assurance;2025;T4;12;Bretagne;2831;1.5%;108;3.81%;62.52;7.9%;3.7;;;
S02;Immobilier;2019;T1;1;Bretagne;2625;13.0%;70;2.67%;32.65;-0.2%;2.8;;;
S02;Immobilier;2019;T1;2;Grand Est;2879;12.7%;75;2.61%;33.88;6.1%;2.5;;;
S02;Immobilier;2019;T1;3;PACA;2729;-14.9%;81;2.97%;33.29;2.1%;3.0;;;
S02;Immobilier;2019;T2;4;Nouvelle-Aquitaine;2833;7.9%;72;2.54%;34.31;6.2%;3.3;;;
S02;Immobilier;2019;T2;5;Pays de la Loire;3338;-13.7%;82;2.46%;33.21;5.4%;2.7;;;
S02;Immobilier;2019;T2;6;Bretagne;2623;13,9%;65;2,48%;34.28;-1,4 %;2.4;;;
S02;Immobiliers;2019;T3;7;Pays de la Loire;3185;-10,4%;74;2,32%;34.65;-1,3 %;3.0;;;
S02;Immobilier;2019;T3;8;Occitanie;3403;-0.4%;76;2.23%;32.13;-2.7%;3.0;;;
S02;immobilier;2019;T3;9;Île-de-France;2909;-12.0%;79;2.72%;33.56;0.2 %;3.0;;;
S02;Immobilier;2019;T4;10;Grand Est;2745;-2.6%;80;2.91%;29.62;-3.5%;2.9;;;
S02;Immobilier;2019;T4;11;Bretagne;3484;-10.7%;74;2.12%;30.33;-2.4%;2.3;;;
S02;Immobilier;2019;T4;12;Occitanie;2626;-1.7%;71;2.7%;31.87;2.9%;2.7;;;
S02;Immobilier;2020;T1;1;Bourgogne;3649;10.6%;65;1.78%;31.76;-1.0%;2.6;;;
S02;Immobilier;2020;T1;2;Centre-Val de Loire;3275;-6.8%;77;2.35%;33.74;4.4%;2.3;;;
S02;Immobilier;2020;T1;3;Occitanie;3543;8.3%;68;1.92%;34.5;-2.9%;2.5;;;
S02;IMMOBILIER;2020;T2;4;Bretagne;3276;10,2%;-200;2,41%;35.16;3,0 %;2.6;;;
S02;Immobilier;2020;T2;5;Occitanie;3009;-9.0%;83;2.76%;34.98;-0.9%;2.8;;;
S02;Immobiliers;2020;T2;6;Auvergne-Rhône-Alpes;3458;-0.5%;83;2.4%;34.14;-1.3 %;2.4;;;
S02;Immobilier;2020;T3;7;Pays de la Loire;2955;8.7%;62;2.1%;32.77;0.4%;3.0;;;
S02;Immobilier;2020;T3;8;Hauts-de-France;3254;-3.9%;80;2.46%;32.35;2.7%;3.3;;;
S02;Immobilier;2020;T3;9;Île-de-France;2624;9.7%;86;3.28%;31.25;-0.3%;2.4;;;
S02;Immobilier;2020;T4;10;Normandie;2661;11.6%;65;2.44%;32.23;3.4%;3.1;;;
S02;Immobilier;2020;T4;11;Île-de-France;2724;-2.6%;64;2.35%;32.46;-0.3%;3.3;;;
S02;Immobilier;2020;T4;12;Pays de la Loire;3041;-7.9%;71;2.33%;35.66;-0.9%;3.2;;;
S02;Immobilier;2021;T1;1;Centre-Val de Loire;2834;-11.3%;84;2.96%;33.07;3.3%;3.0;;;
